Pair,Entry Time,Exit Time,Alloc,EntryZ,ZScale,Trade Return,Trade Costs,Slippage,Alpha PnL,Realized PnL,Capital After
ARCLK-ENKAI,2023-01-17,2023-01-31,101833.87408939582,3.1634921725332195,1.0,0.003249583839842987,81.46709927151666,40.73354963575833,330.91771158950615,208.7170626822312,1782920.5792422246
THYAO-TTKOM,2022-11-28,2023-02-02,95639.38986743617,3.7657770984595067,1.0,0.030656078092369865,76.51151189394893,38.25575594697447,2931.9286044827304,2817.161336641807,1786800.8949321457
KOZAL-KRDMD,2023-02-02,2023-02-06,107208.05369592874,1.9614229864509023,1.0,0.3645646441881821,85.76644295674299,42.883221478371496,39084.26594976378,38955.616285328666,1827894.5550798972
KOZAA-MGROS,2023-01-20,2023-02-07,101420.9870260991,2.360540376206072,1.0,0.0747564201944611,81.13678962087928,40.56839481043964,7581.869922660053,7460.164738228734,1835897.471646026
BIMAS-EGEEN,2022-11-24,2023-02-08,96932.1245538046,1.9067587801848567,1.0,0.11948156323514211,77.54569964304369,38.772849821521845,11581.601769392077,11465.28321992751,1847907.9228362804
BRSAN-MGROS,2023-01-20,2023-02-15,87996.57166790428,3.614483232778979,1.0,0.0023411846953786397,70.39725733432343,35.198628667161714,206.01622683468713,100.42034083320199,1851833.0476909867
EREGL-MIATK,2023-02-15,2023-02-16,111109.9828614592,-2.170461269835833,1.0,0.09784611508369209,88.88798628916736,44.44399314458368,10871.680170009393,10738.348190575642,1863119.0077027462
ENKAI-MIATK,2023-01-30,2023-02-17,106931.00815598825,4.374836289839454,1.0,0.008330759974709716,85.5448065247906,42.7724032623953,890.8165628012651,762.4993530140792,1864429.3227923466
BIMAS-DOHOL,2022-11-23,2023-02-21,95963.74358333315,3.3806881607886194,1.0,0.08716963815458327,76.77099486666653,38.38549743333326,8365.124804118363,8249.968311818362,1874864.6881390954
ISCTR-TCELL,2023-02-02,2023-02-22,54917.41814035198,-4.585845564367054,1.0,0.14616582635360792,43.93393451228159,21.966967256140794,8027.049803691166,7961.148901922744,1883374.5062005022
KOZAL-SISE,2022-12-13,2023-02-23,100416.93422392009,-2.1032788655605286,1.0,-0.04148507583471625,80.33354737913608,40.16677368956804,-4165.804131369038,-4286.304452437742,1879646.5723996523
TCELL-ULKER,2022-12-28,2023-02-24,79636.8560996868,2.2908325875903692,1.0,-0.07918770237809986,63.709484879749446,31.854742439874723,-6306.259659149565,-6401.823886469189,1873805.3471762172
BRSAN-KCAER,2023-02-23,2023-02-24,112778.79434397914,-1.9126564455142727,1.0,0.10065907519556347,90.22303547518332,45.11151773759166,11352.209140335584,11216.87458712281,1885022.22176334
SASA-TUPRS,2022-12-15,2023-02-28,99384.0672963295,1.708516428353499,1.0,0.5317765256392724,79.5072538370636,39.7536269185318,52850.11401074173,52730.853129986135,1939994.0376444373
AKBNK-FROTO,2022-12-01,2023-03-01,98747.7510664197,2.7670656989017925,1.0,0.4340750289146818,78.99820085313577,39.499100426567885,42863.93289941594,42745.43559813623,1983311.9441742622
SASA-TAVHL,2022-12-19,2023-03-02,98725.32998919564,1.959865744707747,1.0,-0.4691984121698467,78.98026399135652,39.49013199567826,-46321.76807187474,-46440.238467861775,1937424.3326088095
ARCLK-ASELS,2023-01-10,2023-03-03,101989.53288382723,-2.267982515242034,1.0,0.24927170164905227,81.59162630706179,40.795813153530894,25423.104412343586,25300.716972882994,1963268.7668342348
ARCLK-BRSAN,2023-01-27,2023-03-07,103909.93719451784,2.370790304337757,1.0,-0.05258394091124202,83.12794975561428,41.56397487780714,-5463.993997527396,-5588.685922160817,1959886.9737245454
PETKM-TSKB,2022-12-27,2023-03-09,101100.21785773293,-3.8534446783561034,1.0,-0.20279379720093552,80.88017428618635,40.44008714309317,-20502.49707721149,-20623.81733864077,1940366.539912983
ODAS-ZOREN,2023-01-31,2023-03-09,106975.23475453346,-1.687522896165502,1.0,0.016208289448637378,85.58018780362677,42.790093901813385,1733.8855687374112,1605.515287031971,1941972.055200015
AKBNK-THYAO,2023-02-22,2023-03-10,113002.47037203012,2.6379329624971235,1.0,-0.1878739210151396,90.4019762976241,45.20098814881205,-21230.21719319044,-21365.820157636877,1921152.423792704
BIMAS-EGEEN,2023-02-23,2023-03-10,112778.79434397914,-3.422284923733256,1.0,0.05632870104277975,90.22303547518332,45.11151773759166,6352.68299056714,6217.348437354365,1927369.7722300584
ARCLK-ENKAI,2023-02-22,2023-03-13,113002.47037203012,2.994033740940563,1.0,-0.07331393794487708,90.4019762976241,45.20098814881205,-8284.656100472826,-8420.259064919263,1920561.4927988604
KONTR-SOKM,2023-01-31,2023-03-16,106975.23475453346,1.5325406414421439,1.0,0.014543307534061203,85.58018780362677,42.790093901813385,1555.7737375635725,1427.4034558581322,1923598.3448649605
EREGL-MIATK,2023-02-20,2023-03-17,111963.95803301483,4.021535915621422,1.0,0.29281956588873553,89.57116642641186,44.78558321320593,32785.237586412004,32650.880836772387,1956785.6695535865
AKBNK-THYAO,2023-03-14,2023-03-24,115265.65823586645,-3.5940264220187697,1.0,-0.00809624763786312,92.21252658869317,46.10626329434658,-933.2193132188714,-1071.538103101911,1959560.7933762465
AKSEN-TTRAK,2023-03-17,2023-03-24,117407.14017321519,1.9105242187834184,1.0,-0.036739943922274844,93.92571213857215,46.962856069286076,-4313.531746038588,-4454.420314246446,1955106.373062
